Movie Name,Director,Lead_Actor,Lead_Actress,Runtime ( .),Release Date,IMDb_Rating,Language,Animated,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,Music_Rating,Music_Director,CBFC/MPAA,Popularity of Lead Actor (POAM),Popularity of Lead Actress (POAF),Popularity of Director (POD),CSS,Follower Count (Lead Actor),Follower Count (Lead Actress),BO Collection (Total),1st Week,2nd Week,3rd Week,4th Week,Overseas Collection,Budget,Trailer Views,Trailer Likes (K),No. of Screens,Verdict
Now You See Me 2,Jon M. Chu,Jesse Eisenberg,Mark Ruffalo,129,10-06-2016,6.5,English,Live Action,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.6,Brian Tyler,PG-13,0.49,0.72,0.67,0,13K,5K,334.9,129.4,53.7,28.6,51.26,334.9,90,334901337,"3,815",3500,Blockbuster
The Saint,Philip Noyce,Val Kilmer,Elisabeth Shue,116,04-04-1997,6.2,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,Graeme Revell,PG-13,0.6,0.75,0.29,0.45,606K,115K,118.9,45.3,18.2,9.4,11,118.9,68,108986431,"3,340","3,000",Hit
Spy Game,Tony Scott,Robert Redford,Brad Pitt,126,21-11-2001,7.1,English,Live Action,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.1,Harry Gregson-Williams,PG-13,0.7,0.8,0.3,0.5,2M,137K,143.1,62.4,27.8,14,10.9,143.1,92,143049560,3055,"3,400",Hit
Mission to Mars,Brian De Palma,Gary Sinise,Tim Robbins,114,10-03-2000,5.7,English,Live Action,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5.7,Ennio Morricone,PG,0.5,0.7,0.4,0.2,298K,26K,112.9,60.9,28.9,14.9,8.1,112.9,90,111267263,"3,150",2000,Hit
Rio,Carlos Saldanha,Jesse Eisenberg,Anne Hathaway,96,15-04-2011,6.9,English,Animated,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,John Powell,G,0.6,0.8,0.7,0.3,43.8K,31M,484.6,143.6,63,31.6,53.3,484.6,90,143694158,"3,460",2000,Hit
Bicentennial Man,Chris Columbus,Robin Williams,Embeth Davidtz,131,17-12-1999,6.9,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.9,James Horner,PG,0.8,0.7,0.5,0,109K,41K,87.5,37.3,17.2,8.4,7.6,87.5,100,87643762,"3,485",2000,Hit
Volcano,Mick Jackson,Tommy Lee Jones,Anne Heche,104,25-04-1997,5.5,English,Live Action,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.5,Alan Silvestri,PG-13,0.55,0.7,0.4,0.45,452K,123K,122.8,49.3,24.1,11.5,10.3,122.8,75,98752508,"3,053",4000,Hit
The Devil's Own,Alan J. Pakula,Harrison Ford,Brad Pitt,107,26-03-1997,6.2,English,Live Action,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.2,James Horner,R,0.7,0.8,0.3,0.5,6884,115K,140.9,140.9,47.6,15.2,10.6,65.5,90,90158074,3156,1000,Hit
K-19: The Widowmaker,Kathryn Bigelow,Harrison Ford,Liam Neeson,138,19-07-2002,6.7,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.7,Klaus Badelt,PG-13,0.7,0.7,0.6,0.35,452K,42K,65.7,65.7,35.2,10.4,6.3,30.1,100,63360049,3155,3000,Hit
Conan the Barbarian,John Milius,Arnold Schwarzenegger,Sandahl Bergman,129,14-08-1982,6.9,English,Live Action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9,Basil Poledouris,R,0.6,0.6,0.4,0.35,26M,137K,68.9,68.9,40.2,15.3,8.9,42.7,90,42324785,3018,"3,500",Hit
Cinderella Man,Ron Howard,Russell Crowe,Renée Zellweger,144,03-06-2005,8,English,Live Action,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,Thomas Newman,R,0.75,0.8,0.65,0.35,1M,87K,108.5,108.5,61.6,20.3,10.3,51.9,90,148792426,3451,3000,Hit
The Nutcracker: The Untold Story,Andrey Konchalovskiy,Elle Fanning,Charlie Rowe,110,24-11-2010,3.3,English,Live Action,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.3,Edward Artemyev,PG-13,0.6,0.55,0.4,0.25,101K,6M,20.8,20.8,16,3.6,1.2,13.6,90,253928921,3517,3400,Hit
Seabiscuit,Gary Ross,Tobey Maguire,Naomi Harris,140,07-08-2003,7.3,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.3,Randy Newman,PG-13,0.65,0.6,0.5,0.35,498K,137K,148.3,148.3,80,21,12.3,36.8,120,349456189,3542,"3,400",Blockbuster
Twister,Jan de Bont,Bill Paxton,Helen Hunt,113,10-05-1996,6.3,English,Live Action,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,Mark Mancina,PG-13,0.55,0.75,0.33,0.45,544K,137K,494.5,494.5,217.6,57.9,34.5,254.9,88,55011732,3392,"1,796",Hit
Cast Away,Robert Zemeckis,Helen Hunt,Tom Hanks,143,22-12-2000,7.8,English,Live Action,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.8,Alan Silvestri,PG-13,0.6,0.6,0.44,0.15,10M,137K,429.6,429.6,172,43.8,27.3,193.6,90,448139099,3205,"3,089",Blockbuster
Happy Feet,George Miller,Happy Feet,Elijah Wood,108,17-11-2006,6.4,English,Animated,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,John Powell,PG,0.51,0.7,0.6,0.33,22K,137K,384.3,384.3,198,53.9,32.7,186.3,90,214343261,3694,"3,584",Hit
The Bourne Supremacy,Paul Greengrass,Matt Damon,Holly Hunter,108,23-07-2004,7.7,English,Live Action,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7.7,John Powell,PG-13,0.51,0.75,0.75,0.3,452K,104K,108.1,108.1,71.8,20,11.8,112.3,90,434171808,3684,"3,470",Blockbuster
Air Force One,Wolfgang Petersen,Harrison Ford,Matthew Modine,124,25-07-1997,6.5,English,Live Action,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,Jerry Goldsmith,R,0.51,0.6,0.55,0,452K,137K,315.2,315.2,172.7,42.3,25.3,142.1,90,110608026,3124,3500,Hit
Ocean's Eleven,Steven Soderbergh,George Clooney,Alexandra Daddario,116,07-12-2001,7.7,English,Live Action,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,David Holmes,PG-13,0.51,0.8,0.7,0.56,452K,36K,451,451,183.4,41.3,26.1,267.3,95,450717150,3075,"3,000",Blockbuster
The Three Musketeers,Paul W.S. Anderson,Logan Lerman,Milla Jovovich,105,12-10-2011,5.7,English,Live Action,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,Paul Haslinger,PG-13,0.5,0.75,0.4,0.3,2M,5M,134.5,134.5,58.9,16.6,9.5,27.1,72,26588518,35,"3,400",Hit
Hotel Transylvania,Genndy Tartakovsky,Adam Sandler,Naomi Harris,91,28-09-2012,7.1,English,Animated,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Mark Mothersbaugh,PG,0.6,0.6,0.8,0.35,20M,137K,358.4,358.4,148.3,42.7,27.5,189.4,75,142133726,3674,2000,Blockbuster
Enchanted,Kevin Lima,Morgan Davies,Amy Adams,107,21-11-2007,7,English,Live Action,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Alan Menken,PG,0.51,0.6,0.4,0.35,452K,941K,340.5,340.5,127.8,40.9,26.5,340.5,70,340487652,3925,2000,Blockbuster
Safe House,Daniel Espinosa,Denzel Washington,Ryan Reynolds,115,10-02-2012,6.7,English,Live Action,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Ramin Djawadi,R,0.7,0.7,0.5,0.4,50M,500K,208.1,208.1,126.4,38.4,22.8,81.1,100,208076205,3183,2000,Hit
102 Dalmatians,Kevin Lima,Glenn Close,Naomi Harris,100,22-11-2000,4.9,English,Live Action,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,David Newman,G,0.51,0.75,0.4,0,452K,677K,183.6,183.6,99.9,33.3,19.3,116.7,85,183611771,3418,4000,Hit
Tower Heist,Brett Ratner,Ben Stiller,Eddie Murphy,104,04-11-2011,6.2,English,Live Action,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,Christophe Beck,PG-13,0.6,0.75,0.6,0.35,2M,42K,152.9,152.9,78,27.3,16.3,75.5,130,152930623,3256,1000,Hit
The Holiday,Nancy Meyers,Cameron Diaz,Jude Law,138,08-12-2006,6.9,English,Live Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,Hans Zimmer,PG-13,0.55,0.75,0.55,0.35,12M,73K,205.1,205.1,118.7,38.9,22.4,139.7,85,205138349,3408,3000,Hit
Enemy of the State,Tony Scott,Will Smith,Gene Hackman,132,20-11-1998,7.3,English,Live Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.3,Trevor Rabin,R,0.8,0.7,0.3,0.39,65M,137K,250.7,250.7,111.5,41,25.3,131.4,110,250649836,3264,"3,500",Hit
It's Complicated,Nancy Meyers,Meryl Streep,Steve Martin,120,25-12-2009,6.6,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.6,Hans Zimmer,R,0.75,0.7,0.55,0.15,684K,600K,219.1,219.1,112.7,40.8,24.4,112.7,90,224602291,3140,3000,Hit
Ocean's Thirteen,Steven Soderbergh,George Clooney,Brad Pitt,122,08-06-2007,6.9,English,Live Action,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.9,David Holmes,PG-13,0.7,0.8,0.7,0.18,2M,137K,311.3,311.3,117.1,41.5,25.7,194.6,110,311312624,3450,3400,Blockbuster
Open Season,Mike Thurmeier,Ashton Kutcher,Martin Lawrence,99,29-09-2006,6.1,English,Animated,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Paul Westerberg,PG,0.6,0.7,0.6,0.4,5M,10M,197.3,197.3,85.1,28.2,16.3,85.1,90,206232055,3755,"3,400",Hit
Divergent,Neil Burger,Shailene Woodley,Theo James,139,21-03-2014,6.6,English,Live Action,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,Junkie XL,PG-13,0.65,0.7,0.65,0.25,5M,28.7K,288.9,54.6,92.7,45.2,28.4,137.9,110,208076205,3450,"1,796",Hit
Enemy at the Gates,Jean-Jacques Annaud,Jude Law,Rachel Weisz,131,16-03-2001,7.6,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.5,James Horner,R,0.55,0.8,0.5,0.28,73K,206K,96.85,15.54,54.81,24.18,11.8,72.62,100,"3,63,14,005",202,20000,Hit
The Rundown,Peter Berg,Dwayne Johnson,Seann William Scott,104,26-09-2003,6.7,English,Live Action,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,Harry Gregson-Williams,PG-13,0.75,0.7,0.55,0.35,392M,137K,80.91,18.47,47,21.35,10.28,54.53,85,180000000,185,4300,Hit
Last Action Hero,John McTiernan,Arnold Schwarzenegger,Austin O'Brien,131,18-06-1993,6.4,English,Live Action,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Michael Kamen,PG-13,0.6,0.6,0.4,0.4,26M,137K,137.33,15.34,50.01,23.18,9.64,102.13,85,"14,19,093",92,500,Average
Memoirs of a Geisha,Rob Marshall,Ziyi Zhang,Ken Watanabe,145,23-12-2005,7.4,English,Live Action,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,John Williams,PG-13,0.65,0.75,0.6,0.35,51K,39K,162.24,682,14.29,3.96,2.07,93.73,85,"1,04,60,532",86,3000,Hit
The Fast and the Furious: Tokyo Drift,Justin Lin,Lucas Black,Bow Wow,104,16-06-2006,6,English,Live Action,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Brian Tyler,PG-13,0.55,0.6,0.75,0.4,790K,5M,158.47,23.97,60.47,28.76,12.94,95.92,85,"4,16,21,819",796,3100,Hit
Arthur Christmas,Sarah Smith,James McAvoy,Hugh Laurie,97,11-11-2011,7.1,English,Animated,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,Harry Gregson-Williams,PG,0.7,0.7,0.6,0.3,4M,49K,147.42,12.07,75.05,27.61,8.69,118.12,100,"9,52,15,450",2400,6000,Hit
Meet Joe Black,Martin Brest,Brad Pitt,Anthony Hopkins,181,13-11-1998,7.1,English,Live Action,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.5,Thomas Newman,PG-13,0.75,0.75,0.45,0.35,2M,5M,142.94,15.02,44.62,21.7,10.77,98.94,110,"22,84,960",11,5000,Hit
All That Jazz,Bob Fosse,Roy Scheider,Jessica Lange,123,20-12-1979,7.9,English,Live Action,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,Ralph Burns,R,0.55,0.7,0.35,0.35,452K,32K,37.82,95,1.43,0.34,0.22,500.25,85,"27,02,09,447",9800,10000,Hit
Mirror Mirror,Tarsem Singh,Lily Collins,Julia Roberts,106,30-03-2012,5.6,English,Live Action,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,Alan Menken,PG,0.6,0.8,0.5,0.17,29M,11.5M,183.02,18.13,118.63,45.32,29.88,160.59,85,"5,27,59,423",1700,4000,Average
Scott Pilgrim vs. the World,Edgar Wright,Michael Cera,Mary Elizabeth Winstead,112,13-08-2010,7.5,English,Live Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,Nigel Godrich,PG-13,0.6,0.75,0.8,0.5,44K,154K,48.08,10.61,31.52,7.6,6.49,47.66,85,"5,25,18,821",1100,3000,Hit
The Core,Jon Amiel,Aaron Eckhart,Hilary Swank,135,28-03-2003,5.5,English,Live Action,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6,Christopher Young,PG-13,0.55,0.8,0.7,0.3,452K,2M,74.23,12.03,44.07,13.23,7.4,62.58,85,"1,90,54,878",81,3000,Average
Nutty Professor II: The Klumps,Peter Segal,Eddie Murphy,Janet Jackson,106,28-07-2000,4.4,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,David Newman,PG-13,0.7,0.6,0.5,0.2,42K,8M,166.3,42.52,123.31,28.29,17.18,123.32,85,"54,16,555",16,2000,Average
Scooby-Doo,Raja Gosnell,Freddie Prinze Jr.,Sarah Michelle Gellar,86,14-06-2002,5,English,Live Action,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,David Newman,PG,0.5,0.75,0.4,0.25,1M,4M,275.65,54.15,153.29,49.47,18.74,129.27,85,"19,63,144",37,7500,Blockbuster
Dredd,Pete Travis,Karl Urban,Olivia Thirlby,95,21-09-2012,7.1,English,Live Action,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.5,Paul Leonard-Morgan,R,0.6,0.6,0.6,0.25,3M,83K,41.47,13.41,32.77,10.47,7.58,22.06,85,"1,04,60,532",86,5000,Hit
Click,Frank Coraci,Adam Sandler,Kate Beckinsale,107,23-06-2006,6.4,English,Live Action,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Rupert Gregson-Williams,PG-13,0.6,0.8,0.55,0.5,20M,6M,237.68,40.01,137.35,47.13,17.19,108.58,85,"76,601",1,500,Superhit
Creepshow,George A. Romero,Hal Holbrook,Adrienne Barbeau,120,12-11-1982,6.9,English,Live Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6.5,John Harrison,R,0.5,0.8,0.35,0.35,452K,23.3K,21.03,100.11,11.9,4.53,67.25,15.03,85,"1,04,90,521",82,1000,Superhit
Cats,Tom Hooper,Francesca Hayward,Idris Elba,110,20-12-2019,2.7,English,Live Action,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,Andrew Lloyd Webber,PG,0.55,0.6,0.75,0.35,139K,6M,75.53,6.62,34.96,15.02,8.93,53.35,85,28000000,2100,200,Superhit
Jumper,Doug Liman,Hayden Christensen,Samuel L. Jackson,88,14-02-2008,6.1,English,Live Action,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,John Powell,PG-13,0.65,0.75,0.65,0.35,64K,8M,222.98,80.17,139.65,38.11,23.05,164.35,85,11000000,131,500,Blockbuster
Hellboy II: The Golden Army,Guillermo del Toro,Ron Perlman,Selma Blair,120,11-07-2008,7,English,Live Action,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Danny Elfman,PG-13,0.7,0.8,0.55,0.4,1M,3M,160.39,75.75,119.29,31.32,16.03,123.92,85,"1,12,93,725",44,1000,Superhit
Zodiac,David Fincher,Jake Gyllenhaal,Chloë Sevigny,157,02-03-2007,7.7,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,David Shire,R,0.7,0.75,0.7,0,8M,1M,84.79,40.12,33.08,9.99,1.6,58.5,85,"5,00,47,547",708,3000,Flop
The 6th Day,Roger Spottiswoode,Arnold Schwarzenegger,Sarah Wynter,123,17-11-2000,5.9,English,Live Action,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.5,Trevor Rabin,PG-13,0.6,0.6,0.45,0,26M,11K,96.13,34.54,55.8,17.13,9.05,69.56,85,"3,24,39,874",334,1500,Hit
Bruce Almighty,Tom Shadyac,Jim Carrey,Jennifer Aniston,101,23-05-2003,6.8,English,Live Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,John Debney,PG-13,0.7,0.8,0.6,0.2,3M,44M,485,84.62,242.83,77.44,29.81,352.39,85,17000000,179,1000,Hit
The Expendables,Sylvester Stallone,Sylvester Stallone,Naomi Harris,103,13-08-2010,6.5,English,Live Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Brian Tyler,R,0.6,0.6,0.4,0.25,16.7M,137K,274.47,103.07,171.4,34.63,17.83,237.45,85,"92,23,509",28,3000,Superhit
The Hunger Games,Gary Ross,Josh Hutcherson,Jennifer Lawrence,142,23-03-2012,7.2,English,Live Action,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,James Newton Howard,PG-13,0.55,0.8,0.5,0.65,1.4M,889K,694.41,408.01,228.95,29.24,15.63,668.48,85,"1,13,25,189",250,300,Average
The Hangover Part II,Mel Brooks,Zach Galifianakis,Ed Helms,102,26-05-2011,6.5,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5.5,John Morris,R,0.6,0.7,0.55,0.45,30K,1M,254.46,254.46,103.41,103.41,13.5,138.35,85,"9,39,784",17,1000,Hit
Batman Returns,Tim Burton,Michael Keaton,Michelle Pfeiffer,126,19-06-1992,7,English,Live Action,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Danny Elfman,PG-13,0.6,0.8,0.7,0.3,904K,3M,266.83,104.26,162.83,45.69,14.99,225.08,85,"5,47,45,957",424,1500,Flop
Over the Hedge,Tim Johnson,Bruce Willis,Garry Shandling,83,19-05-2006,6.7,English,Live Action,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Rupert Gregson-Williams,PG,0.7,0.7,0.65,0.2,1M,137K,336,155.04,155.04,43.91,27.58,234.04,85,"81,11,492",21,2000,Hit
Lilo & Stitch,Chris Sanders,Daveigh Chase,Julia Roberts,85,21-06-2002,7.2,English,Animation,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Alan Silvestri,Chris Sanders,No,0.55,0.6,0.43,0.35,50K,137K,145.79,145.79,47.14,22.51,225.35,85,272,"7,45,75,570",781,10000,Superhit
Charlotte's Web,Gary Winick,Dakota Fanning,Julia Roberts,97,15-12-2006,6.3,English,Live Action,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Danny Elfman,G,0.6,0.8,0.55,0.35,4M,11.5M,82.99,82.99,76.24,76.24,15.86,66.47,85,"20,03,443",10,1000,Superhit
Deep Impact,Mimi Leder,Elijah Wood,Téa Leoni,120,08-05-1998,6.2,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,James Horner,PG-13,0.55,0.7,0.6,0.35,24K,10K,349.46,140.46,74.03,40.15,19.42,296.98,85,"13,23,166",1.1,1000,Average
RED 2,Dean Parisot,Bruce Willis,Helen Mirren,116,19-07-2013,6.6,English,Live Action,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Alan Silvestri,PG-13,0.7,0.75,0.5,0.33,1M,1M,148.08,53.26,86.9,19.04,14.16,137.94,85,"5,83,861",5.9,1000,Hit
The Longest Yard,Peter Segal,Adam Sandler,Chris Rock,113,27-05-2005,6.4,English,Live Action,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Teddy Castellucci,PG-13,0.6,0.7,0.4,0.5,20M,6M,190.32,158.12,32.64,11.32,9.84,158.68,85,"6,30,107",5.6,500,Blockbuster
Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,Jason Lee,Julia Roberts,87,16-12-2011,4.3,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,Mark Mothersbaugh,PG,0.6,0.6,0.55,0.4,1M,137K,342.66,133.11,183.45,57.92,23.17,226.47,85,"9,37,932",33,500,Average
Grown Ups 2,Dennis Dugan,Adam Sandler,Salma Hayek,101,12-07-2013,5.4,English,Live Action,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Rupert Gregson-Williams,PG-13,0.6,0.8,0.4,0.35,20M,27M,247.04,133.67,77.26,47.55,11.56,204.81,85,"3,91,10,376",439,3000,Superhit
Get Smart,Peter Segal,Steve Carell,Anne Hathaway,110,20-06-2008,6.5,English,Live Action,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Trevor Rabin,PG-13,0.65,0.8,0.6,0.35,847K,31M,230.69,130.32,89.82,39.87,15.58,196.65,85,"13,70,247",38,500,Blockbuster
Something's Gotta Give,Nancy Meyers,Jack Nicholson,Diane Keaton,128,12-12-2003,6.7,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,Hans Zimmer,PG-13,0.7,0.8,0.55,0,89K,3M,266.73,124.73,112.74,41.42,13.84,152.58,85,"89,78,324",24,2500,Blockbuster
Shutter Island,Martin Scorsese,Leonardo DiCaprio,Mark Ruffalo,138,19-02-2010,8.2,English,Live Action,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,Robbie Robertson,R,0.8,0.7,0.8,0.25,62M,21M,294.8,128.01,166.66,43.88,14.26,239.8,85,"18,03,269",28,750,Superhit
Four Christmases,Seth Gordon,Vince Vaughn,Reese Witherspoon,88,26-11-2008,5.7,English,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.5,Alex Wurman,PG-13,0.6,0.8,0.6,0.33,14K,30M,163.73,120.15,41.02,17.13,7.69,145.09,85,"6,66,875",6.5,1000,Hit
Robots,Chris Wedge,Morgan Davies,Halle Berry,91,11-03-2005,6.3,English,Animation,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Powell,Ewan McGregor,No,0.51,0.75,0.43,0.35,452K,9M,128.2,134.15,49.38,19.24,226.75,85,272,"5,11,35,335",803,2000,Hit
Face/Off,John Woo,John Travolta,Dominique Swain,138,27-06-1997,7.3,English,Live Action,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,John Powell,R,0.55,0.6,0.7,0.25,5M,27K,245.68,112.28,188.13,64.57,22.34,207.77,85,"3,11,41,305",825,4000,Superhit
Bedtime Stories,Adam Shankman,Adam Sandler,Keri Russell,99,25-12-2008,6,English,Live Action,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Rupert Gregson-Williams,PG,0.6,0.75,0.6,0.5,20M,25K,212.87,110.1,99.78,36.29,13.29,172.45,85,"42,25,784",93,1000,Superhit
