Movie Name,Director,Lead_Actor,Lead_Actress,Runtime ( .),Release Date,IMDb_Rating,Language,Animated,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,Music_Rating,Music_Director,CBFC/MPAA,Popularity of Lead Actor (POAM),Popularity of Lead Actress (POAF),Popularity of Director (POD),CSS,Follower Count (Lead Actor),Follower Count (Lead Actress),BO Collection (Total),1st Week,2nd Week,3rd Week,4th Week,Overseas Collection,Budget,Trailer Views,Trailer Likes (K),No. of Screens,Verdict
Pari: Not A Fairy Tale,Prosit Roy,Parambrata Chatterjee,Anushka Sharma,134,03-02-2018,6.6,Hindi,Live Action,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Anupam Roy,UA,0.41,0.47,0.6,0.35,386K,66M,41.4,22.75,4.3,1.31,0.29,0,30,"76,601",1,500,Average
Jab We Met,Imtiaz Ali,Shahid Kapoor,Kareena Kapoor Khan,139,10/26/2007,7.9,Hindi,Live Action,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Pritam,U,0.13,0.37,0.43,0.35,44M,11M,50.9,11.6,7.92,5.4,3.58,20.05,15,"1,04,90,521",82,1000,Superhit
Hera Pheri,Priyadarshan,Akshay Kumar,Tabu,138,3/31/2000,8.1,Hindi,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Anu Malik,U,0.44,0.4,0.5,0.35,67M,3M,21.4,3.9,3.1,2.5,1.3,11.4,7.5,28000000,2100,200,Average
Phir Hera Pheri,Neeraj Vora,Akshay Kumar,Bipasa Basu,153,06-09-2006,7.2,Hindi,Live Action,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Himesh Reshammiya,UA,0.5,0.41,0.6,0.35,67M,467K,69.12,17.61,12.39,5.03,2.47,28.3,18,11000000,131,500,Superhit
OMG! Oh My God,Umesh Shukla,Akshay Kumar,Sonakshi Sinha,130,9/28/2012,8.1,Hindi,Live Action,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Amar Mohile,U,0.51,0.5,0.67,0.3,67M,467K,193,36.95,21.15,12.1,5.38,40,25,"1,12,93,725",44,1000,Superhit
Love Aaj Kal,Imtiaz Ali,Kartik Aaryan,Sara Ali Khan,141,2/14/2020,4.7,Hindi,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Pritam,UA,0.25,0.5,0.43,0.24,32M,44M,50.04,37.66,2.4,0,0,10,58,"5,00,47,547",708,3000,Flop
Raazi,Meghna Gulzar,Vicky Kaushal,Alia Bhatt,140,05-11-2018,7.7,Hindi,Live Action,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.2,Shankar_Ehsaan_loy,UA,0.31,0.62,0.67,0.35,16M,81M,197,56.59,35.04,18.21,7.95,37,37,"3,24,39,874",334,1500,Superhit
Welcome,Anees Bazmee,Akshay Kumar,Katrina Kaif,158,12/21/2007,7,Hindi,Live Action,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Himesh Reshammiya,UA,0.06,0.43,0.6,0.33,67M,78M,119.49,33.4,19.3,8.27,4.98,49.36,32,17000000,179,1000,Superhit
Welcome Back,Anees Bazmee,John Abraham,Shruti Haasan,152,09-04-2015,4.3,Hindi,Live Action,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,Anu Malik,UA,0.36,0.09,0.6,0.35,12M,24M,168.76,73.94,18.67,3.4,0.35,72.21,88,"92,23,509",28,3000,Average
Uri The Surgical Strike,Aditya Dhar,Vicky Kaushal,Yami Gautam,138,01-11-2019,8.2,Hindi,Live Action,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Shashwat Sachdev,UA,0.11,0.05,0.7,0.25,16M,20M,359.73,71.53,62.54,37.04,29.28,48.55,25,"2,95,62,195",590,1500,Blockbuster
The Tashkent Files,Vivek Agnihotri,Mithun Chakraborty,Shweta Basu Prasad,144,04-12-2019,8.1,Hindi,Live Action,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,Rohit Sharma,UA,0.16,0,0.25,0.35,33.6K,537K,20.84,3.5,4.22,3.77,2.86,3.63,4,"1,13,25,189",250,300,Hit
Shah Jahan Regency,Srijit Mukherjee,Parambrata Chatterjee,Swastika Mukherjee,156,1/18/2019,6.6,Bengali,Live Action,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,Indraadip Dasgupta,UA,0.94,0.68,0.7,0.25,386K,467K,5.01,0.6,0.7,0.67,0.84,1.05,4,"9,39,784",17,1000,Superhit
Stree,Amar Kaushik,Rajkumar Rao,Shraddha Kapoor,128,8/31/2018,7.5,Hindi,Live Action,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,Sachin-Jigar,UA,0.77,0.21,0.6,0.35,7M,84M,180.76,60.38,35.14,17.14,9.99,15.72,14,"5,47,45,957",424,1500,Superhit
Singham,Rohit Shetty,Ajay Devgan,Kajal Agarwaal,143,7/22/2011,6.8,Hindi,Live Action,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,8.9,Ajay-Atul,UA,0.32,0.33,0.3,0.3,11M,326K,157,52.74,29.45,10.4,5.47,20.62,41,"81,11,492",21,2000,Superhit
The Lion King,Jon Favreau,Donald Glover,Beyoncé Giselle Knowles-Carter,118,07-09-2019,6.8,English,Animated,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,Hans Zimmer,U,0.5,0.33,0.5,0.25,5M,82K,1647.73,275.25,117.39,60.46,31.1,1104.09,260,"7,45,75,570",781,10000,Blockbuster
Rajkahini,Srijit Mukherjee,Saswata Chatterjee,Rituparna Sengupta,160,10/16/2015,7.2,Bengali,Live Action,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,Indraadip Dasgupta,A,0.28,0.54,0.4,0.35,422K,851K,7,2.9,2.1,1.5,0.5,0,3.5,"20,03,443",10,1000,Superhit
No Problem,Anees Bazmee,Anil Kapoor,Sushmita Sen,140,12-10-2010,4.4,Hindi,Live Action,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,Sajid-Wajid,UA,0.63,0.5,0.6,0.35,6M,7M,48.7,23.25,2.75,1.12,0.55,6.64,35,"13,23,166",1.1,1000,Flop
Kahaani,Sujoy Ghosh,Parambrata Chatterjee,Vidya Balan,122,03-09-2012,8.1,Hindi,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9.1,Vishal-Shekhar,UA,0.48,0.64,0.5,0.35,386K,9M,91.71,24.03,12.97,7.65,3.35,9.94,20,"5,83,861",5.9,1000,Hit
Hemlock Society,Srijit Mukherjee,Parambrata Chatterjee,Koyel Mallick,141,6/22/2020,7.5,Bengali,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,Indraadip Dasgupta,A,0.67,0.33,0.6,0.3,386K,3M,7.02,3.21,2.11,1.2,0.5,0,2.1,"6,30,107",5.6,500,Hit
Gumnaami,Srijit Mukherjee,Anirban Bhattacharya,Tanusree Chakraborty,142,10-02-2019,7.8,Bengali,Live Action,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.1,Indraadip Dasgupta,U,0.57,0.37,0.6,0.25,406K,724K,6.7,3.1,1.9,1.1,0.6,7.1,2.8,"9,37,932",33,500,Superhit
Gold,Reema Kagti,Akshay Kumar,Mouni Roy,151,8/15/2018,7.3,Hindi,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Sachin-Jigar,UA,0.49,0.72,0.67,0.25,67M,28.1M,158.54,89.3,14.7,4,1.36,17,75,"3,91,10,376",439,3000,Average
Genaration Aami,Mainak Bhaumik,Rwitobroto Mukherjee,Sauraseni Maitra,120,11/23/2018,7.6,Bengali,Live Action,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,Arindom Chatterjee,U,0.67,0.35,0.5,0.35,111K,217K,8.56,2.11,3.2,2.45,2.14,1.94,5.01,"13,70,247",38,500,Hit
Entertainment,Sajid,Akshay Kumar,Tamannaah Bhatia,145,08-08-2014,4.5,Hindi,Live Action,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,Sachin-Jigar,UA,0.21,0.07,0.33,0.5,67M,24.1M,103.85,56.51,13.87,1.13,0.4,6.76,75,"89,78,324",24,2500,Flop
Ek Je Chhilo Raja,Srijit Mukherjee,Jisshu Sengupta,Jaya Ahsan,147,10-12-2018,7.2,Bengali,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,Indraadip Dasgupta,UA,0.6,1,0.6,0.35,422K,3M,5.7,2.3,1.9,1.2,0.3,0,2.5,"18,03,269",28,750,Hit
Baishe Srabon,Srijit Mukherjee,Parambrata Chatterjee,Raima Sen,140,9/30/2011,8.1,Bengali,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8.5,Anupam Roy,A,0.32,0.29,0.6,0.15,386K,2M,3.3,1.5,1.1,0.3,0.1,0,1.45,"6,66,875",6.5,1000,Superhit
Chhichhore,Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,143,09-06-2019,8.3,Hindi,Live Action,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,Pritam,UA,0.5,0.14,0.33,0.35,13M,84M,215.41,68.83,40.47,24.23,15.3,31,50,"5,11,35,335",803,2000,Superhit
Brahmastra Part One Shiva,Ayan Mukerji,Ranbir Kapoor,Alia Bhatt,166,09-09-2022,5.6,Hindi,Live Action,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,Pritam,UA,0.13,0.59,0.43,0.55,958K,81M,431,173.22,57.43,30.18,6.19,113,400,"3,11,41,305",825,4000,Average
Bhool Bhulaiyaa,Priyadarshan,Akshay Kumar,Vidya Balan,154,10-12-2007,7.4,Hindi,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.1,Pritam,UA,0.33,0.37,0.7,0.25,67M,9M,82.35,23.5,15.3,6.15,2.05,14.15,32,"42,25,784",93,1000,Hit
Bhool Bhulaiyaa 2,Anees Bazmee,Kartik Aaryan,Kiara Advani,145,5/20/2022,5.7,Hindi,Live Action,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,Pritam,UA,0.19,0.53,0.6,0.35,32M,32M,266.88,92.05,49.7,21.4,12.99,49,70,"8,23,03,827",1800,3000,Blockbuster
Dwitiyo Purush,Srijit Mukherjee,Parambrata Chatterjee,Raima Sen,128,1/23/2020,6.1,Bengali,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,Anupam Roy,A,0.85,0.8,0.6,0.25,386K,2M,5,2.1,1.5,1.2,0.2,0,1.5,"17,28,208",38,1000,Average
Kornosuborner Guptodhan,Dhrubo Banerjee,Abir Chatterjee,Ishaa Saha,128,9/15/2022,6,Bengali,Live Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,Bikram Ghosh,U,0.85,0.37,0.67,0.35,610K,759K,9.4,3.5,3.1,2.2,1.2,0,1.5,"26,28,639",48,1000,Superhit
3 Idiots,Rajkumar Hirani,Aamir Khan,Kareena Kapoor,171,12/25/2009,8.4,Hindi,Live Action,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,Shantanu Moitra,UA,0.29,0.4,0.63,0.35,2M,11M,400.61,79.07,55.79,30.12,15.63,186,55,"8,23,03,827",1800,1500,Blockbuster
The Martian,Ridley Scott,Matt Damon,Jessica Chastain,141,9/30/2015,8,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.2,Harry Gregson-Williams,UA,0.41,0.28,0.47,0.25,104K,5M,653.6,71.71,50.58,28.16,20.95,425.17,108,"2,03,02,877",95,10000,Blockbuster
The Da Vinci Code,Ron Howard,Tom Hanks,Audrey Tautou,149,5/19/2006,6.6,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.9,Hans Zimmer,A,0.45,0.43,0.56,0.33,10M,52K,767,102.48,50.87,25.37,14.77,550.28,125,"16,63,534",58,10000,Superhit
Angels & Demons,Ron Howard,Tom Hanks,Ayelet Zurer,138,5/15/2009,6.7,English,Live Action,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8.1,Hans Zimmer,A,0.46,0.62,0.56,0.35,10M,74K,490.87,60.11,33.45,16.06,9.48,357.5,150,"16,63,534",62,10000,Hit
